-1	目前，人类已知月球上的能源有
1-A	生物能、风能
1-B	核能、潮汐能
1-C	潮汐能、太阳能
1-D	太阳能、核能

1-	电视收视率是指在某个时段收看电视的人（户）数占电视观众总人（户）数的百分比。
1-2	一般情况下，图1中表示北京地区电视收视率变化的曲线是
2-A	①
2-B	②                  
2-C	③
2-D	④

2-	构建模式图，探究地理基本原理、过程、成因及规律，是学习地理的方法之一。读图2，回答3～5题。
2-3	如果该图为在气环流模式，S线代表地球表面，则
3-A	E处气温比H处高
3-B	F处气压比G处低
3-C	气流②自西向东运动
3-D	E处的高度可达120千米

2-4	如果该图为海陆间水循环模式，S线代表地球表面，则
4-A	环节①参与地表淡水资源的补给
4-B	环节②是陆地自然带形成的基础
4-C	环节③使大洋表面海水的盐度降低
4-D	环节④的运动距离与下垫面无关

2-5	如果该图为世界洋流模式的南半球部分，S线代表纬线，则
5-A	洋流①对沿岸气候有降温、减湿作用
5-B	洋流②为西风漂流
5-C	洋流③对沿岸气候有增温、增湿作用
5-D	洋流④为赤道逆流

3-	读图3，回答6、7题。

3-6	该作物
6-A	种植期的早晚取决于气候条件
6-B	灌浆期的早晚取决于成土母质
6-C	收割期的早晚取决于农业政策
6-D	一个生产周期至少为8个月

3-7	该作物处于开花期时，正值
7-A	赤道正午太阳高度最大
7-B	地中海沿岸炎热干燥
7-C	中国东北平原昼长夜短
7-D	潘帕斯草原草木茂盛

4-	城市活动在空间上高度集取，并具有水平和垂直方向上的分异。读图4，回答8题。

4-8	图中①②③④所示城市空间最合理的作用方式分别为
8-A	电影院、厂房、住宅、银行
8-B	零售店、电影院、石房、办公室
8-C	办公室、零售店、住宅、厂房
8-D	批发市场、办公室、住宅、零售店

5-	读图5，回答9～11题。
5-9	与图示地区山体岩石、地貌类型及其形成的外力作用对应的是
9-A	石灰岩、球状风化地貌、风力作用
9-B	花岗岩、流水堆积地貌、流水作用
9-C	大理岩、喀斯特地貌、风力作用
9-D	石灰岩、喀斯特地貌、流水作用

5-10	该地区成为著名旅游地的优势在于
10-A	地处热带，风景优美，环境承载量大
10-B	景观具有春翡夏翠秋金冬银的季节特点
10-C	地质地貌景观独特，具有较高的游览价值
10-D	水陆交通通达性好，旅游地吸引半径大

5-11	与图示地区农业地域类型相同的地区是
11-A	西欧平原
11-B	湄公河三角洲
11-C	五大湖沿岸
11-D	墨累-达令盆地
